Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
ACOUSTICS,17243,123104,1,78.79139360900076,0.9975040364205767,7.139360900075393,43.97408253784145,0.839077306733167,0.991013993726594
AGRICULTURAL ECONOMICS & POLICY,5303,21186,2,63.11521780124458,0.9956685083914764,3.9950971148406564,39.6799554780313,0.7910220629832169,0.5545590428216092
AGRICULTURAL ENGINEERING,9054,137501,3,88.78948531036006,0.999557532582284,15.186768279213608,46.7208591893086,0.9476364037994254,2.1080738310938867
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",24055,118615,4,70.13094990646435,0.998294213261276,4.93099147786323,39.43721293701934,0.804271876948659,0.6844704485323659
"AGRICULTURE, MULTIDISCIPLINARY",20828,130157,5,73.18513539466103,0.999038381025543,6.249135778759363,42.903352549452656,0.8841290570386015,0.86744193102532
AGRONOMY,27342,185320,6,77.47421549264867,0.971255851803087,6.777850925316363,43.51111468436842,0.875594689488699,0.9408328292116914
ALLERGY,14723,95411,7,51.54520138558718,0.9908998505739322,6.480404808802554,30.25975933573318,0.5980527066494599,0.8995443626429678
ANATOMY & MORPHOLOGY,5550,32495,8,82.18018018018019,0.9960314774774776,5.854954954954955,44.87027194594594,0.9400288288288291,0.8127257291248502
ANDROLOGY,1964,13087,9,86.35437881873727,0.9923648676171082,6.663441955193482,45.19960397148677,0.9402800407331977,0.9249517311713297
ANESTHESIOLOGY,22143,121749,10,63.13507654789324,0.9998202818046351,5.4983064625389515,37.31608707943819,0.784170166644086,0.7632193865022185
ANTHROPOLOGY,21255,52950,11,42.291225593977885,0.9985875982121847,2.491178546224418,28.467156273818006,0.5030359915314045,0.34580025225420385
ARCHAEOLOGY,14468,33258,12,47.94028200165884,0.995503642521427,2.298728227813105,31.74414744263201,0.6026914570085709,0.31908624223115883
ARCHITECTURE,15689,9980,13,21.601121805086365,0.9810685830836897,0.6361144751099497,17.863101746446553,0.3003053094524826,0.08829898856063575
AREA STUDIES,34331,33336,14,29.020418863417902,0.9983410037575364,0.9710174477877137,22.237628723311353,0.3948122687949666,0.13478683769861594
ART,22466,10238,15,15.859521054037213,0.9803711564141366,0.4557108519540639,13.560949456957193,0.21154722692068012,0.06325717913696959
ASIAN STUDIES,9946,5228,16,23.104765734968833,0.9879384576714256,0.5256384476171325,18.331835391111998,0.3409410818419465,0.07296382190509526
ASTRONOMY & ASTROPHYSICS,52408,634933,17,83.8249885513662,0.9998051423446783,12.115192337047779,44.95636715196155,0.964863952068386,1.6817086726315738
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,6794,40933,18,86.66470415072124,0.995724860170738,6.024874889608478,45.1768723138063,0.9545289961730942,0.8363122987648541
AUTOMATION & CONTROL SYSTEMS,82767,454047,19,63.05894861478608,0.9988636715115925,5.485845808111929,38.775915449393686,0.7022800149818166,0.7614897242704016
BEHAVIORAL SCIENCES,19439,164117,20,79.31477956685015,0.9995842944595917,8.442666803847935,41.88713818612065,0.8344215237409333,1.1719257597547599
BIOCHEMICAL RESEARCH METHODS,41668,418082,21,85.17087453201498,0.9998074349620814,10.033646923298454,44.732130961409034,0.937105692617836,1.3927695557449054
BIOCHEMISTRY & MOLECULAR BIOLOGY,172507,2178312,22,78.94462253705646,0.9999907684905605,12.627383236622283,40.93339969914269,0.8254044763400903,1.7528058416978394
BIODIVERSITY CONSERVATION,15545,154406,23,83.80186555162432,0.999421350916695,9.932840141524606,45.758692010292656,0.9013669990350599,1.378776576149299
BIOLOGY,49371,339614,24,58.53638775799559,0.9999805189281146,6.878815498977132,33.13791281926638,0.673158331814223,0.9548477118838091
BIOPHYSICS,40049,338234,25,69.44992384329197,0.9999737047117293,8.445504257284826,36.70786403156136,0.7484818597218408,1.1723196263909845
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,73395,834329,26,80.54908372504939,0.9996601893861985,11.367654472375502,43.67559816200016,0.8624075209482938,1.5779430141784623
BUSINESS,49084,294614,27,55.36834813788607,0.99847435213104,6.002241056148643,35.86550159726182,0.6440516257843699,0.8331704985387111
"BUSINESS, FINANCE",25370,112170,28,59.10524241229799,0.9992524595979516,4.421363815530154,37.470255242412236,0.6998817500985415,0.613729082178843
CARDIAC & CARDIOVASCULAR SYSTEMS,120122,741986,29,52.125339238440915,0.9998768285576312,6.1769367809393785,30.627507260951084,0.6578926424801453,0.8574199951442126
CELL & TISSUE ENGINEERING,10023,118453,30,76.51401775915394,0.9994992118128299,11.818118327845955,40.88010658485484,0.8246034121520505,1.6404718582427171
CELL BIOLOGY,109197,1553151,31,72.47909741110104,0.9999083555409001,14.223385257836753,37.55293338278512,0.7634051301775686,1.9743467273845072
"CHEMISTRY, ANALYTICAL",60832,748623,32,90.77294844818516,0.9996327935954807,12.306401236191478,46.56934319930322,0.9578706930562865,1.7082503613665503
"CHEMISTRY, APPLIED",37776,506191,33,90.88839474798814,0.9866301805379052,13.399804108428633,46.63247704362547,0.9568400571791619,1.8600255079565524
