Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
BIOCHEMISTRY & MOLECULAR BIOLOGY,470,40916,1,94.8936170212766,6.227915319148938,87.05531914893616,86.22260702127657,0.9024255319148937,1.9483592073005136
MULTIDISCIPLINARY SCIENCES,3351,28294,2,44.07639510593852,2.483732617129215,8.443449716502537,38.5054188898836,0.7895493882423158,0.1889703369920695
CELL BIOLOGY,268,25240,3,93.65671641791045,5.4970257462686565,94.17910447761194,81.49415485074628,1.274813432835821,2.107794528101671
"PHYSICS, MULTIDISCIPLINARY",198,21564,4,84.34343434343434,10.74106717171717,108.9090909090909,78.7080282828283,1.172171717171717,2.437461973672507
NEUROSCIENCES,203,17140,5,92.61083743842364,7.83725763546798,84.43349753694581,82.157497044335,1.4817733990147783,1.8896809975419395
ONCOLOGY,88,13337,6,92.04545454545455,11.441687499999999,151.5568181818182,80.55255454545456,2.0621590909090908,3.391948074172603
GENETICS & HEREDITY,89,11705,7,86.51685393258427,11.159355056179777,131.51685393258427,79.73716067415734,1.2176404494382023,2.9434395942695093
"MATERIALS SCIENCE, MULTIDISCIPLINARY",61,11638,8,98.36065573770492,12.659678688524588,190.78688524590163,93.39226229508196,2.1327868852459018,4.2699445379677465
ASTRONOMY & ASTROPHYSICS,171,11130,9,77.77777777777779,6.079452631578947,65.08771929824562,70.73252222222222,0.7885964912280702,1.4567088882871309
IMMUNOLOGY,98,10319,10,96.93877551020408,8.769595918367349,105.29591836734694,88.18628775510206,1.2236734693877553,2.356596633586527
"CHEMISTRY, MULTIDISCIPLINARY",86,8750,11,94.18604651162791,5.832772093023257,101.74418604651163,85.89225232558141,1.1841860465116283,2.277106368812156
ECOLOGY,103,7577,12,85.43689320388349,7.11956796116505,73.5631067961165,78.55928349514564,1.4559223300970874,1.6463940152655916
"PHYSICS, APPLIED",49,6231,13,91.83673469387756,10.299783673469388,127.16326530612245,84.16370204081633,1.5685714285714285,2.8460032219939237
MICROBIOLOGY,54,5916,14,96.29629629629629,10.19385,109.55555555555556,84.06458148148147,1.2937037037037031,2.4519303066640705
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7,5284,15,71.42857142857143,62.75184285714287,754.8571428571429,70.01288571428572,11.735714285714286,16.89423321699747
"GEOSCIENCES, MULTIDISCIPLINARY",97,4432,16,90.72164948453609,4.94130412371134,45.69072164948454,77.243612371134,0.727938144329897,1.02259045264859
ENVIRONMENTAL SCIENCES,44,3798,17,93.18181818181817,11.181163636363637,86.31818181818181,84.9638522727273,3.159318181818181,1.9318615559282515
METEOROLOGY & ATMOSPHERIC SCIENCES,58,3208,18,93.10344827586206,5.981781034482759,55.310344827586206,80.51920862068965,1.3277586206896552,1.2378843780864002
GEOCHEMISTRY & GEOPHYSICS,71,3111,19,95.77464788732394,7.1851521126760565,43.816901408450704,87.36702535211268,0.5498591549295775,0.9806530391150375
"CHEMISTRY, PHYSICAL",24,3049,20,91.66666666666666,5.826091666666667,127.04166666666667,87.45353333333333,1.1125,2.843281759008146
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,20,2833,21,95.0,12.95627,141.65,88.47143,1.4105,3.1702265227694633
OPTICS,17,2416,22,88.23529411764706,15.419341176470589,142.11764705882354,86.57018823529413,1.1388235294117646,3.180692792513039
PLANT SCIENCES,34,2282,23,91.17647058823529,6.717517647058824,67.11764705882354,81.46639117647058,0.8688235294117648,1.5021400977886497
VIROLOGY,15,1779,24,86.66666666666667,9.909193333333336,118.6,85.70880666666666,0.8753333333333334,2.654351327924167
MARINE & FRESHWATER BIOLOGY,2,1680,25,100.0,100.07600000000001,840.0,100.0,5.655000000000001,18.79979018091316
DEVELOPMENTAL BIOLOGY,19,1059,26,94.73684210526315,6.429131578947369,55.73684210526316,82.8656157894737,1.0536842105263158,1.2474296868162302
"ENGINEERING, ELECTRICAL & ELECTRONIC",7,966,27,100.0,14.241442857142857,138.0,96.49928571428572,1.342857142857143,3.088536958292876
HEMATOLOGY,5,954,28,100.0,15.58218,190.8,98.74324,1.7120000000000002,4.270238055378846
ANTHROPOLOGY,17,873,29,76.47058823529412,12.925441176470587,51.35294117647059,71.7948705882353,0.8205882352941176,1.14931490391717
"PHYSICS, PARTICLES & FIELDS",16,713,30,93.75,3.4533937500000005,44.5625,70.98993125000001,0.39187500000000003,0.9973400594487413
ENDOCRINOLOGY & METABOLISM,10,708,31,80.0,5.8372600000000014,70.8,71.63886,0.6699999999999999,1.5845537438198234
CLINICAL NEUROLOGY,9,625,32,66.66666666666666,14.155933333333333,69.44444444444444,64.6271888888889,3.586666666666667,1.554215458078138
"MEDICINE, RESEARCH & EXPERIMENTAL",6,610,33,66.66666666666666,9.93795,101.66666666666667,54.54906666666667,1.0450000000000002,2.2753714306263944
"PHYSICS, NUCLEAR",9,609,34,88.88888888888889,7.652455555555556,67.66666666666667,72.48745555555556,0.5444444444444445,1.5144275423513378
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",12,584,35,83.33333333333334,6.731925,48.666666666666664,67.61525000000002,0.6191666666666666,1.089194193021159
