Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
BIOCHEMISTRY & MOLECULAR BIOLOGY,1706,51466,1,98.00703399765534,2.170424267291911,30.16764361078546,79.98165375146543,0.7319402110199298,0.7406444244116545
"CHEMISTRY, MULTIDISCIPLINARY",783,50338,2,98.59514687100895,3.6538842911877403,64.28863346104725,85.17040868454664,1.516449553001277,1.57834726968685
"MATERIALS SCIENCE, MULTIDISCIPLINARY",594,46615,3,98.65319865319864,4.8716281144781135,78.47643097643098,88.04360488215491,1.861868686868687,1.926671230948897
CELL BIOLOGY,949,31338,4,97.99789251844047,1.8417579557428874,33.02212855637513,73.9615071654373,0.8105374077976817,0.8107247524211694
MULTIDISCIPLINARY SCIENCES,720,23576,5,91.66666666666666,3.6417268055555567,32.74444444444445,79.45707430555557,1.0867916666666664,0.8039073426193766
NEUROSCIENCES,697,21549,6,97.5609756097561,2.6096985652797704,30.916786226685797,80.06584017216643,0.7690961262553803,0.7590365901609667
"PHYSICS, MULTIDISCIPLINARY",649,21362,7,95.37750385208012,3.03968721109399,32.91525423728814,82.77663543913714,0.765855161787365,0.8081008859513245
ONCOLOGY,362,19472,8,99.17127071823204,3.7881596685082877,53.790055248618785,88.91500607734807,1.2865193370165744,1.3205971610736313
"PHYSICS, APPLIED",356,16294,9,97.47191011235955,3.2753348314606745,45.76966292134831,83.56983848314607,1.0634831460674155,1.123688879623928
IMMUNOLOGY,436,16130,10,98.1651376146789,2.791418348623853,36.9954128440367,80.77464266055046,0.8908256880733945,0.9082726713844813
"CHEMISTRY, PHYSICAL",268,14306,11,98.88059701492537,2.803831716417911,53.38059701492537,78.73339962686568,1.2963805970149254,1.310544570896981
GENETICS & HEREDITY,352,12622,12,97.1590909090909,3.078196875,35.85795454545455,82.92906392045455,0.9040625000000002,0.8803469852515263
MICROBIOLOGY,181,8781,13,99.4475138121547,4.053500552486188,48.51381215469613,88.69035856353591,1.1595580110497243,1.1910603606601846
ECOLOGY,185,6978,14,95.67567567567568,3.4677383783783786,37.71891891891892,80.61017405405403,0.9149189189189191,0.9260354355997777
METEOROLOGY & ATMOSPHERIC SCIENCES,128,5837,15,98.4375,3.710275,45.6015625,85.66904375000001,1.0914062500000001,1.1195618539463783
ENVIRONMENTAL SCIENCES,75,5768,16,100.0,5.602932000000002,76.90666666666667,90.03475600000003,1.8210666666666673,1.8881320199098326
OPTICS,133,5433,17,96.2406015037594,4.587211278195489,40.849624060150376,89.05325338345867,1.0038345864661653,1.0028972328699162
PLANT SCIENCES,120,5075,18,97.5,4.678246666666666,42.291666666666664,90.52852500000002,1.0079166666666668,1.0383007542738383
"GEOSCIENCES, MULTIDISCIPLINARY",173,4852,19,97.10982658959537,2.859387283236994,28.046242774566473,81.12532716763008,0.6836994219653181,0.6885620104996152
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,86,4628,20,96.51162790697676,4.712008139534887,53.81395348837209,87.22347093023257,1.2512790697674416,1.321183885653612
