Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
MULTIDISCIPLINARY SCIENCES,3271,27269,1,87.55732191990218,0.7990252522164474,8.336594313665545,54.84304130235399,0.9145674105778054,0.8540694060137829
BIOCHEMISTRY & MOLECULAR BIOLOGY,3072,25777,2,93.88020833333334,0.5873662434895834,8.390950520833334,40.55064147135416,0.847652994791667,0.8596381037124171
NEUROSCIENCES,2147,19356,3,93.6190032603633,0.7277304611085237,9.015370284117374,42.30420843036795,0.9193432696786213,0.923608808806831
ONCOLOGY,2049,23255,4,95.60761346998537,0.7815475353831137,11.349438750610053,51.068642898975114,1.1389214250854076,1.1627300127144247
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1668,18099,5,95.56354916067147,1.2806238609112712,10.850719424460431,59.678457973621114,1.0698381294964032,1.111637096035729
ECOLOGY,1546,15530,6,95.01940491591203,0.9255874514877104,10.045278137128072,48.63364689521345,1.0297412677878401,1.029121054596205
MICROBIOLOGY,1455,16888,7,96.08247422680412,0.9407356013745706,11.606872852233677,52.04411381443299,1.1813127147766325,1.1891036830633546
IMMUNOLOGY,1317,12355,8,94.83675018982535,0.6773290053151102,9.381169324221716,42.54333599088837,0.9354897494305242,0.9610842762636322
PLANT SCIENCES,1121,11176,9,96.07493309545049,1.1162542372881357,9.969669937555754,57.24512239072255,1.049384478144514,1.0213751277022156
INFECTIOUS DISEASES,1004,9786,10,95.91633466135458,0.9193052788844623,9.747011952191235,50.99019800796813,0.9602290836653387,0.9985642092204591
CARDIAC & CARDIOVASCULAR SYSTEMS,966,8092,11,93.2712215320911,0.6955598343685299,8.376811594202898,49.25006853002071,0.8369461697722568,0.8581895955789298
ENDOCRINOLOGY & METABOLISM,946,10476,12,96.51162790697676,0.869273890063425,11.073995771670191,50.95230940803384,1.0759725158562368,1.1345113645995448
GENETICS & HEREDITY,797,6939,13,94.10288582183188,0.7057452948557089,8.706398996235885,45.81693713927228,0.8884441656210792,0.8919552444869632
