Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
BIOCHEMISTRY & MOLECULAR BIOLOGY,1768,41908,1,97.00226244343891,1.7174401583710406,23.70361990950226,73.44321776018101,0.7586595022624435,0.8234753265837595
NEUROSCIENCES,811,20763,2,95.31442663378546,2.195856103575833,25.601726263871765,74.27887607891493,0.8464364981504318,0.8894164678956208
MULTIDISCIPLINARY SCIENCES,825,16205,3,79.63636363636364,2.644525939393939,19.64242424242424,67.62540630303032,0.9279636363636363,0.6823874066358462
CELL BIOLOGY,581,15774,4,96.21342512908778,1.5029487091222034,27.14974182444062,67.85512581755593,0.843924268502582,0.9431952841339439
ECOLOGY,306,11227,5,96.07843137254902,3.4812016339869287,36.689542483660134,79.25584705882356,1.2923856209150324,1.2746126158911724
IMMUNOLOGY,324,10001,6,95.06172839506173,2.307628703703704,30.867283950617285,75.82501728395061,0.96891975308642,1.0723445123163873
"CHEMISTRY, MULTIDISCIPLINARY",148,8184,7,95.27027027027027,3.5652472972972973,55.2972972972973,80.6425222972973,1.8109459459459463,1.9210551014968296
MICROBIOLOGY,233,7938,8,95.70815450643777,2.9198296137339055,34.06866952789699,81.11160300429185,1.1550643776824037,1.183562210028209
PLANT SCIENCES,209,7836,9,96.17224880382776,4.189466507177034,37.49282296650718,86.44571770334932,1.2170334928229667,1.3025189719868357
ENVIRONMENTAL SCIENCES,86,6458,10,97.67441860465115,5.7369290697674415,75.09302325581395,85.6322046511628,2.627209302325582,2.608768284583995
GENETICS & HEREDITY,221,6022,11,96.83257918552036,2.369579185520363,27.248868778280542,79.72160723981902,0.9712217194570136,0.9466390028991888
"CHEMISTRY, PHYSICAL",163,5721,12,97.54601226993866,1.7798196319018411,35.09815950920245,71.81729754601227,1.094233128834356,1.219327194524538
ONCOLOGY,180,5489,13,96.66666666666667,2.2213249999999998,30.494444444444444,77.49693055555555,1.0065000000000002,1.0593918858702498
"MATERIALS SCIENCE, MULTIDISCIPLINARY",100,5403,14,100.0,3.7089410000000003,54.03,83.93697200000003,1.8696000000000004,1.8770285747572468
"PHYSICS, MULTIDISCIPLINARY",175,4871,15,95.42857142857143,2.825317142857143,27.834285714285713,79.0749697142857,0.8779428571428569,0.9669766730274237
METEOROLOGY & ATMOSPHERIC SCIENCES,109,4089,16,93.57798165137615,3.1499229357798173,37.51376146788991,80.71843486238532,1.3175229357798164,1.3032463857460062
VIROLOGY,121,3506,17,97.52066115702479,2.4253380165289258,28.975206611570247,78.63690165289256,0.9054545454545456,1.0066128219398938
"GEOSCIENCES, MULTIDISCIPLINARY",86,3225,18,96.51162790697676,3.5695779069767437,37.5,84.29698139534882,1.3446511627906976,1.302768305633847
"PHYSICS, APPLIED",59,2235,19,98.30508474576271,2.6409,37.88135593220339,78.75187796610167,1.097796610169492,1.316016796877581
ECONOMICS,77,1930,20,93.5064935064935,4.06047012987013,25.064935064935064,77.03718961038965,0.8005194805194805,0.8707680796098094
GEOCHEMISTRY & GEOPHYSICS,70,1836,21,98.57142857142858,2.773948571428572,26.228571428571428,84.89256714285715,0.803857142857143,0.9111933749119021
ENDOCRINOLOGY & METABOLISM,53,1729,22,100.0,2.665450943396227,32.62264150943396,84.60437924528303,1.0247169811320755,1.133326490787885
INFECTIOUS DISEASES,25,1687,23,96.0,7.481527999999998,67.48,86.93398800000001,2.5776000000000003,2.34428814037792
EVOLUTIONARY BIOLOGY,43,1646,24,97.67441860465115,3.0218813953488373,38.27906976744186,76.84112093023256,1.302093023255814,1.329833569657868
DEVELOPMENTAL BIOLOGY,63,1210,25,96.82539682539682,1.811307936507937,19.206349206349206,74.07924603174605,0.5695238095238095,0.6672379470124676
"PSYCHOLOGY, SOCIAL",40,1196,26,90.0,3.8203500000000004,29.9,79.92260250000001,0.9575000000000001,1.038740595692054
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,26,1056,27,96.15384615384616,3.646200000000001,40.61538461538461,85.95853076923079,1.3873076923076924,1.4109982879480434
"PSYCHOLOGY, MULTIDISCIPLINARY",25,1011,28,96.0,6.198555999999999,40.44,86.14426400000002,1.3996000000000004,1.4049053407955405
PHARMACOLOGY & PHARMACY,22,836,29,86.36363636363636,4.1631136363636365,38.0,77.15716363636365,1.1704545454545456,1.320138549708965
ANTHROPOLOGY,41,803,30,92.6829268292683,5.351026829268292,19.585365853658537,83.57302195121952,0.6656097560975609,0.6804051703570596
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10,800,31,100.0,8.00017,80.0,93.65180000000001,3.25,2.7792390520188737
OPHTHALMOLOGY,26,742,32,92.3076923076923,3.907676923076923,28.53846153846154,83.81240000000001,0.8634615384615384,0.9914400849028867
