Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
MULTIDISCIPLINARY SCIENCES,3089,28021,1,36.29006150857883,1.9114850437034638,9.071220459695695,31.861035318873423,0.8139624473939792,0.20782933737112005
BIOCHEMISTRY & MOLECULAR BIOLOGY,322,26297,2,97.51552795031056,5.851570807453416,81.66770186335404,89.52304503105591,0.7593788819875776,1.871076162055093
"CHEMISTRY, MULTIDISCIPLINARY",169,23488,3,96.44970414201184,6.9038934911242595,138.98224852071007,89.0091828402367,1.2094674556213016,3.184200929163227
"MATERIALS SCIENCE, MULTIDISCIPLINARY",71,18533,4,98.59154929577466,14.055619718309858,261.0281690140845,93.4147816901409,2.0705633802816905,5.9803762506300915
"PHYSICS, MULTIDISCIPLINARY",186,15308,5,92.47311827956989,7.694291397849465,82.3010752688172,86.02531236559142,0.7117204301075267,1.8855872827748197
CELL BIOLOGY,166,14756,6,93.37349397590361,4.975939759036145,88.89156626506023,81.39920301204819,0.8431927710843375,2.036581008788339
ONCOLOGY,31,12273,7,100.0,27.246845161290324,395.9032258064516,94.72181612903226,3.3077419354838717,9.07047794153202
NEUROSCIENCES,172,11832,8,97.09302325581395,5.695818023255814,68.79069767441861,85.12372732558137,0.6725581395348836,1.5760530987526093
IMMUNOLOGY,83,9312,9,92.7710843373494,8.482140963855425,112.19277108433735,85.32531204819279,1.127831325301205,2.570431330148687
ECOLOGY,137,7937,10,94.8905109489051,5.275556934306571,57.934306569343065,78.22724160583941,1.6508759124087597,1.3273239911717247
GENETICS & HEREDITY,74,5549,11,97.2972972972973,6.796982432432434,74.98648648648648,87.32416756756759,0.8041891891891895,1.7180038637047668
ASTRONOMY & ASTROPHYSICS,83,5521,12,89.1566265060241,4.964632530120482,66.51807228915662,79.63281445783132,0.6266265060240964,1.5239853279371671
"PHYSICS, APPLIED",41,5496,13,97.5609756097561,9.301170731707318,134.0487804878049,93.47348292682928,1.338536585365854,3.0711710015172304
"CHEMISTRY, PHYSICAL",39,5313,14,97.43589743589743,6.846000000000001,136.23076923076923,92.43471794871795,1.4758974358974355,3.121162210155184
ENVIRONMENTAL SCIENCES,50,4818,15,96.0,10.076071999999996,96.36,86.85953200000003,4.024600000000001,2.2076891459159773
PLANT SCIENCES,50,3401,16,96.0,7.559584,68.02,88.17251799999998,0.8058,1.5583957628186464
MICROBIOLOGY,45,3359,17,97.77777777777777,5.763666666666666,74.64444444444445,88.55422000000002,0.8846666666666667,1.7101673910640118
GEOCHEMISTRY & GEOPHYSICS,42,2826,18,92.85714285714286,6.653154761904762,67.28571428571429,86.70863095238096,0.5854761904761904,1.5415726557054283
OPTICS,22,2824,19,95.45454545454545,12.42055909090909,128.36363636363637,92.32017272727273,1.0436363636363637,2.940919538504623
ECONOMICS,36,1716,20,88.88888888888889,13.445311111111112,47.666666666666664,81.38958055555555,2.425277777777778,1.0920836718762446
POLYMER SCIENCE,15,1573,21,100.0,16.32926666666667,104.86666666666666,95.68380000000002,2.5060000000000007,2.402584078127738
METEOROLOGY & ATMOSPHERIC SCIENCES,31,1545,22,96.7741935483871,4.562154838709678,49.83870967741935,86.37947096774191,1.081935483870968,1.1418470153725226
"GEOSCIENCES, MULTIDISCIPLINARY",35,1291,23,94.28571428571428,4.670699999999999,36.885714285714286,88.85000857142857,0.8831428571428572,0.845082929306033
VIROLOGY,13,1285,24,100.0,8.124492307692309,98.84615384615384,95.36363846153844,0.9261538461538462,2.2646490344717174
