Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
"MATERIALS SCIENCE, MULTIDISCIPLINARY",178,15179,1,100.0,5.0628988764044935,85.2752808988764,89.79857528089887,1.751067415730337,1.825016904617639
"CHEMISTRY, MULTIDISCIPLINARY",104,7753,2,100.0,3.9565788461538456,74.54807692307692,87.23224423076923,1.5333653846153845,1.5954389027775588
MULTIDISCIPLINARY SCIENCES,149,6006,3,94.63087248322147,3.8134630872483224,40.308724832214764,82.21606845637584,0.9571140939597315,0.8626662198815699
"PHYSICS, MULTIDISCIPLINARY",157,5421,4,99.36305732484077,3.298791719745223,34.52866242038217,85.41570127388538,0.7968789808917198,0.738964351061593
"PHYSICS, APPLIED",111,5416,5,100.0,3.510954054054053,48.792792792792795,87.19135945945948,1.0582882882882885,1.0442377994151626
ENVIRONMENTAL SCIENCES,37,4813,6,100.0,8.837005405405405,130.0810810810811,90.81846216216215,2.5732432432432435,2.7839271760996187
BIOCHEMISTRY & MOLECULAR BIOLOGY,148,4517,7,100.0,2.110716891891893,30.52027027027027,78.61561351351351,0.6302702702702703,0.6531788413900881
ECOLOGY,76,3491,8,100.0,3.845617105263158,45.93421052631579,87.07956973684213,0.9332894736842108,0.9830599187377919
"CHEMISTRY, PHYSICAL",68,3182,9,100.0,2.311719117647058,46.794117647058826,74.53041470588235,0.9822058823529415,1.0014632006175446
GEOCHEMISTRY & GEOPHYSICS,99,2979,10,98.98989898989899,3.2432191919191915,30.09090909090909,87.83684040404043,0.6701010101010103,0.6439898782783753
"GEOSCIENCES, MULTIDISCIPLINARY",53,1901,11,100.0,3.7242679245283012,35.867924528301884,86.84026603773583,0.7964150943396224,0.767626537347039
METEOROLOGY & ATMOSPHERIC SCIENCES,35,1808,12,100.0,4.0542942857142865,51.65714285714286,85.10424000000003,1.0971428571428572,1.1055391194821174
NEUROSCIENCES,63,1741,13,98.4126984126984,2.174395238095238,27.634920634920636,74.10019841269843,0.5706349206349207,0.5914280995017104
OPTICS,31,1483,14,100.0,5.161122580645162,47.83870967741935,90.86751290322582,1.0090322580645161,1.0238190122166588
CELL BIOLOGY,41,1140,15,100.0,1.5460341463414633,27.804878048780488,72.94206585365855,0.6082926829268293,0.5950654390694
MICROBIOLOGY,22,942,16,100.0,3.3599590909090917,42.81818181818182,88.95801363636363,0.8595454545454545,0.9163723041362986
ONCOLOGY,15,866,17,100.0,4.018753333333334,57.733333333333334,90.16554666666666,1.2860000000000003,1.2355785660583694
GENETICS & HEREDITY,22,801,18,100.0,2.896777272727273,36.40909090909091,84.46343181818183,0.7513636363636365,0.7792082968292728
OCEANOGRAPHY,20,657,19,100.0,4.089185,32.85,91.138575,0.6925000000000001,0.7030384970268608
ASTRONOMY & ASTROPHYSICS,23,596,20,100.0,1.9504304347826091,25.91304347826087,81.62191739130434,0.5930434782608697,0.5545773863119702
IMMUNOLOGY,13,377,21,100.0,2.3336923076923077,29.0,72.8654076923077,0.6992307692307692,0.620642813204839
POLYMER SCIENCE,6,372,22,100.0,5.60745,62.0,93.24136666666668,1.515,1.326891531679311
ECONOMICS,12,325,23,100.0,4.366616666666666,27.083333333333332,92.186075,0.5891666666666667,0.5796233169298066
"PHYSICS, CONDENSED MATTER",11,318,24,100.0,1.8390636363636361,28.90909090909091,81.17173636363637,0.7072727272727272,0.6186972244487111
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,6,286,25,100.0,3.9892333333333334,47.666666666666664,89.05566666666668,0.915,1.0201370377964596
"CHEMISTRY, ANALYTICAL",4,286,25,100.0,5.362550000000001,71.5,88.15515000000002,1.2525,1.5302055566946895
ANTHROPOLOGY,9,278,27,100.0,8.751755555555555,30.88888888888889,96.13521111111112,0.7533333333333334,0.6610678240266102
ROBOTICS,1,262,28,100.0,24.118100000000002,262.0,99.94120000000001,4.49,5.60718679516096
"MATHEMATICS, APPLIED",1,248,29,100.0,44.5234,248.0,99.9867,4.25,5.307566126717244
PLANT SCIENCES,8,246,30,100.0,3.681637500000001,30.75,89.6094,0.7737499999999999,0.6580953967603035
INFECTIOUS DISEASES,3,241,31,100.0,6.733666666666667,80.33333333333333,91.74836666666668,1.376666666666667,1.7192519308317955
NANOSCIENCE & NANOTECHNOLOGY,5,234,32,100.0,2.4641200000000003,46.8,75.05145999999999,1.244,1.0015890916547057
EVOLUTIONARY BIOLOGY,8,228,33,100.0,2.3566375,28.5,86.74882500000001,0.6875,0.609942075046135
PALEONTOLOGY,7,197,34,100.0,4.4473,28.142857142857142,92.40297142857142,0.5914285714285715,0.6022986906470605
PHARMACOLOGY & PHARMACY,3,194,35,100.0,6.9867333333333335,64.66666666666667,97.51626666666668,1.3566666666666667,1.3839621351923999
ENDOCRINOLOGY & METABOLISM,5,187,36,100.0,2.90078,37.4,88.40764000000001,0.728,0.8004152142710683
ENVIRONMENTAL STUDIES,5,178,37,100.0,4.2367799999999995,35.6,92.37838,0.96,0.7618925568997336
CARDIAC & CARDIOVASCULAR SYSTEMS,6,174,38,100.0,2.49675,29.0,86.86735,0.6416666666666667,0.620642813204839
"PSYCHOLOGY, MULTIDISCIPLINARY",2,156,39,100.0,8.1508,78.0,93.54670000000002,1.2950000000000002,1.6693151527578431
"PHYSICS, MATHEMATICAL",2,146,40,100.0,10.39495,73.0,96.68270000000001,1.335,1.5623077711708018
MARINE & FRESHWATER BIOLOGY,5,132,41,100.0,3.6080799999999997,26.4,90.70288000000001,0.656,0.5649989747795776
ENERGY & FUELS,3,116,42,100.0,6.5747333333333335,38.666666666666664,77.34633333333333,1.7466666666666668,0.8275237509397854
"CHEMISTRY, ORGANIC",2,107,43,100.0,4.5436000000000005,53.5,97.08215000000001,0.915,1.144978982981341
"AGRICULTURE, MULTIDISCIPLINARY",1,106,44,100.0,4.6908,106.0,95.9752,0.49000000000000005,2.268556489645274
BIOLOGY,7,94,45,100.0,1.4471000000000003,13.428571428571429,71.04624285714286,0.32571428571428573,0.28739125340519645
"PHYSICS, FLUIDS & PLASMAS",3,94,45,100.0,3.654266666666667,31.333333333333332,90.93746666666668,0.5733333333333334,0.6705795912787916
VIROLOGY,5,92,47,100.0,1.6465400000000003,18.4,82.00862,0.4640000000000001,0.3937871642403117
ELECTROCHEMISTRY,2,87,48,100.0,1.7928000000000002,43.5,84.9624,0.8300000000000001,0.9309642198072586
SOCIOLOGY,4,77,49,100.0,4.6006,19.25,88.98712500000002,0.38749999999999996,0.4119784191101087
ARCHAEOLOGY,4,76,50,100.0,7.014975,19.0,97.318425,0.5125,0.40662805003075664
TRANSPORTATION SCIENCE & TECHNOLOGY,1,73,51,100.0,5.8471,73.0,97.8767,1.25,1.5623077711708018
ACOUSTICS,1,71,52,100.0,9.7607,71.0,99.58420000000001,1.9200000000000002,1.5195048185359854
CLINICAL NEUROLOGY,3,66,53,100.0,2.3737,22.0,85.22680000000001,0.5499999999999999,0.47083247898298136
MANAGEMENT,2,55,54,100.0,2.9019500000000003,27.5,83.2915,0.515,0.5885405987287268
POLITICAL SCIENCE,5,53,55,100.0,3.4195400000000005,10.6,87.15616,0.23200000000000004,0.2268556489645274
MECHANICS,2,51,56,100.0,2.3596000000000004,25.5,90.05595,0.555,0.5457376460939102
SOIL SCIENCE,2,51,56,100.0,2.68775,25.5,85.0852,0.5800000000000001,0.5457376460939102
WATER RESOURCES,1,50,58,100.0,4.6582,50.0,97.8037,0.86,1.0700738158704122
ZOOLOGY,4,50,58,100.0,2.5151250000000003,12.5,85.6525,0.26999999999999996,0.26751845396760304
HEMATOLOGY,2,48,60,100.0,2.3059000000000003,24.0,81.9226,0.65,0.5136354316177979
INFORMATION SCIENCE & LIBRARY SCIENCE,1,47,61,100.0,8.155800000000001,47.0,98.63510000000001,1.27,1.0058693869181874
GASTROENTEROLOGY & HEPATOLOGY,1,46,62,100.0,4.035200000000001,46.0,96.21820000000001,1.24,0.9844679106007792
BEHAVIORAL SCIENCES,1,44,63,100.0,4.5135000000000005,44.0,98.3926,0.75,0.9416649579659627
EDUCATION & EDUCATIONAL RESEARCH,3,43,64,66.66666666666666,4.456933333333334,14.333333333333334,60.72376666666668,0.36333333333333334,0.30675449388285153
"EDUCATION, SCIENTIFIC DISCIPLINES",2,43,64,100.0,4.1688,21.5,96.4058,0.455,0.46013174082427727
VETERINARY SCIENCES,1,43,64,100.0,9.467,43.0,99.66130000000001,1.1600000000000001,0.9202634816485545
"ENGINEERING, ELECTRICAL & ELECTRONIC",1,42,67,100.0,3.3680000000000003,42.0,94.65350000000001,0.7200000000000001,0.8988620053311462
ENTOMOLOGY,3,40,68,100.0,2.0741666666666667,13.333333333333334,86.36863333333334,0.25333333333333335,0.2853530175654433
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1,40,68,100.0,4.994800000000001,40.0,97.7159,1.08,0.8560590526963298
METALLURGY & METALLURGICAL ENGINEERING,1,37,70,100.0,4.347300000000001,37.0,97.4174,1.0,0.7918546237441051
GERONTOLOGY,1,35,71,100.0,3.5401000000000002,35.0,96.3062,0.6,0.7490516711092886
DEVELOPMENTAL BIOLOGY,2,34,72,100.0,1.8586000000000003,17.0,85.88035,0.46,0.36382509739594016
"ENGINEERING, CHEMICAL",1,30,73,100.0,2.2419000000000002,30.0,89.4937,0.81,0.6420442895222473
