Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
"CHEMISTRY, MULTIDISCIPLINARY",73,2360,1,98.63013698630137,4.24978904109589,32.32876712328767,65.72037808219177,2.0764383561643833,1.77264672805667
"MATERIALS SCIENCE, MULTIDISCIPLINARY",81,2205,2,98.76543209876543,1.7066370370370365,27.22222222222222,71.94487407407408,1.2567901234567902,1.4926453263320878
MULTIDISCIPLINARY SCIENCES,72,963,3,86.11111111111111,2.070140277777778,13.375,70.2414888888889,0.7424999999999999,0.7333762496213269
"PHYSICS, MULTIDISCIPLINARY",49,724,4,89.79591836734694,1.5054040816326533,14.775510204081632,63.944916326530596,0.7016326530612246,0.8101688418475539
"CHEMISTRY, PHYSICAL",25,701,5,100.0,1.5875080000000004,28.04,64.88644800000002,1.3568,1.5374856104210843
OPTICS,13,499,6,100.0,3.2771769230769228,38.38461538461539,81.17482307692309,1.5923076923076924,2.1047002073963603
METEOROLOGY & ATMOSPHERIC SCIENCES,17,334,7,100.0,1.8797882352941178,19.647058823529413,76.85034705882354,1.0688235294117647,1.0772849582123065
GEOCHEMISTRY & GEOPHYSICS,19,246,8,94.73684210526315,2.4880578947368424,12.947368421052632,69.76910000000001,0.7421052631578947,0.7099284108483872
"GEOSCIENCES, MULTIDISCIPLINARY",19,205,9,94.73684210526315,2.967384210526316,10.789473684210526,75.54915263157896,0.7847368421052632,0.5916070090403227
"PHYSICS, APPLIED",17,174,10,100.0,1.6320529411764708,10.235294117647058,76.42506470588236,0.6694117647058824,0.5612203075716805
ENERGY & FUELS,7,140,11,100.0,1.9689285714285714,20.0,59.86271428571428,0.9857142857142858,1.0966373826113298
ENVIRONMENTAL SCIENCES,9,122,12,100.0,1.1831,13.555555555555555,66.62882222222224,0.7822222222222224,0.7432764482143458
NEUROSCIENCES,8,119,13,100.0,3.3649750000000003,14.875,64.23285000000001,1.14125,0.8156240533171766
MICROBIOLOGY,6,106,14,100.0,1.18995,17.666666666666668,58.26905,0.7516666666666666,0.9686963546400081
"ENGINEERING, ENVIRONMENTAL",2,98,15,100.0,2.5268500000000005,49.0,78.28385,2.3600000000000003,2.686761587397758
