Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World,Journal
"CHEMISTRY, MULTIDISCIPLINARY",27,1112,1,92.5925925925926,2.3292518518518515,41.18518518518518,72.3857111111111,1.6529629629629627,2.2206575669610684,National Science Review
"MATERIALS SCIENCE, MULTIDISCIPLINARY",22,1082,2,90.9090909090909,2.018318181818182,49.18181818181818,71.46588636363637,1.3427272727272728,2.6518267724493403,National Science Review
MULTIDISCIPLINARY SCIENCES,126,479,3,50,1.0407976190476191,3.8015873015873014,40.51931031746031,0.4796825396825397,0.20497719191437921,National Science Review
"CHEMISTRY, PHYSICAL",11,424,4,90.9090909090909,3.7449,38.54545454545455,64.99563636363636,3.7218181818181817,2.0783263429177823,National Science Review
METEOROLOGY & ATMOSPHERIC SCIENCES,10,375,5,100,1.6035600000000003,37.5,72.33491000000001,1.183,2.0219566425792106,National Science Review
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5,358,6,100,9.29572,71.6,97.89766000000002,3.4220000000000006,3.8605892162312387,National Science Review
"PHYSICS, MULTIDISCIPLINARY",12,240,7,83.33333333333334,2.5483,20,67.64670833333334,0.8666666666666667,1.0783768760422456,National Science Review
ENVIRONMENTAL SCIENCES,10,233,8,80,1.07443,23.3,58.92397999999999,1.0210000000000001,1.2563090605892162,National Science Review
GEOCHEMISTRY & GEOPHYSICS,5,169,9,100,2.9640000000000004,33.8,75.5523,0.7379999999999999,1.822456920511395,National Science Review
"PHYSICS, APPLIED",8,163,10,87.5,2.3594375000000003,20.375,55.009525000000004,1.3175000000000001,1.0985964424680377,National Science Review
PLANT SCIENCES,5,124,11,80,1.7781800000000003,24.8,67.63236,0.5940000000000001,1.3371873262923846,National Science Review
OPTICS,2,76,12,50,28.77365,38,50.08975,5.765000000000001,2.0489160644802666,National Science Review
"PHYSICS, PARTICLES & FIELDS",3,76,12,100,2.2365333333333335,25.333333333333332,63.67276666666667,1.2766666666666668,1.3659440429868444,National Science Review
BIOCHEMISTRY & MOLECULAR BIOLOGY,5,72,14,100,0.99806,14.4,59.74344,0.394,0.7764313507504168,National Science Review
ENERGY & FUELS,1,61,15,100,1.0793000000000001,61,69.75880000000001,1.1500000000000001,3.2890494719288492,National Science Review
OCEANOGRAPHY,4,57,16,100,3.43685,14.25,87.56060000000001,1.3475,0.7683435241801,National Science Review
CELL BIOLOGY,12,53,17,83.33333333333334,0.5967416666666667,4.416666666666667,27.6701,0.4283333333333333,0.2381415601259959,National Science Review
ECOLOGY,2,38,18,100,0.81775,19,45.83755,0.41,1.0244580322401333,National Science Review
"COMPUTER SCIENCE, INFORMATION SYSTEMS",2,28,19,100,1.79905,14,76.9019,0.455,0.754863813229572,National Science Review
STATISTICS & PROBABILITY,1,24,20,100,1.2461,24,86.5385,0.45,1.2940522512506947,National Science Review
"CHEMISTRY, ORGANIC",2,18,21,100,0.42910000000000004,9,44.1531,0.16999999999999998,0.4852695942190105,National Science Review
